class,DS,DU
7,1630.87,28
7,400.96,6
4,5713.55,28
1,1186.61,8
5,2075.46,12
6,566.58,15
7,1404.28,9
7,3408.29,20
7,1514.47,10
4,488.06,4
5,3237.77,15
3,2635.85,11
0,1577.61,16
3,4594.98,18
7,2540.24,18
5,5968.58,27
3,1693.59,17
1,1213.23,14
5,4197.88,48
7,1379.83,8
0,1604.36,10
7,1131.63,9
7,1592.08,12
3,1323.29,14
2,1297.2,8
5,53185.63,19
7,4155.54,32
2,8510.22,41
4,4694.71,29
4,798.35,4
2,1994.36,14
7,285.97,3
5,1612.1,11
3,677.8,114
5,10045.04,57
4,11983.81,92
0,2629.11,15
0,1444.82,11
3,1868.77,16
4,1356.52,9
5,2663.9,16
5,1654.96,13
4,1103.25,9
6,784.2,12
0,1779.43,11
5,1843.63,12
0,2516.22,16
7,672.32,3
1,1630.65,19
0,450.41,121
7,169.39,53
5,627.37,12
4,2734.76,25
5,1833.3,15
0,5921.37,27
7,2564.23,12
3,696,5
5,285.37,5
5,3339.86,23
0,339.02,3
3,1263.23,8
7,5581.8,44
3,1229.51,8
3,3251.1,17
4,2758.19,21
3,14020.82,126
0,914.99,5
5,633.22,13
5,1533.66,6
0,1657.5,10
5,2768.96,20
0,1238.75,10
1,8004.69,44
7,1533.76,9
4,4760.2,38
0,2745.04,15
4,744.7,12
5,1578.97,59
5,648.57,7
0,396.88,6
7,2996.85,14
4,2408.48,96
7,169.48,58
4,687.82,7
3,2548,18
3,2377.5,17
5,682.11,4
0,1151.23,8
6,683.45,10
6,682.96,4
1,1182.69,15
5,1025.88,6
5,1031.49,14
1,1200.38,9
5,1293.03,8
5,1388.26,11
2,909.85,6
4,3334.6,19
5,1351.15,10
0,454.98,7
0,3431.4,17
4,1418.31,17
7,4211.93,24
2,4371.2,43
0,532.05,6
4,1805.35,10
5,1885.75,11
2,1345.69,9
7,1059.87,14
0,516.11,4
7,1074.09,8
5,1205.28,9
1,1176.46,10
0,1249.19,12
3,982.55,5
4,3039.73,20
4,3746.7,27
7,339.05,77
3,4954.36,56
0,2083.03,17
5,5965.9,30
0,1069.14,7
6,3179.88,49
5,4014.96,22
5,2729.55,16
5,678.08,6
7,1094.2,11
0,2541.88,20
7,6185.39,84
3,8969.92,70
0,3203.85,24
7,1553.56,18
0,6265.88,29
5,3178.89,16
3,1699.34,16
3,1611.62,16
5,169.55,45
4,2670.64,28
7,4219.58,89
4,1819.92,20
5,1340.93,9
7,3527.94,22
6,1070.32,8
5,3788.09,22
0,1640.65,12
4,9535.43,62
5,1495.43,10
1,1394.04,25
4,2900.5,23
0,865.76,13
5,865.7,7
0,7578.81,86
0,1698.74,10
0,1532.79,16
7,392.01,30
5,3092.53,19
0,6519.95,79
2,535.94,6
3,2093.62,14
5,3953.6,29
0,1035.25,7
5,1793.36,8
4,285.58,17
0,13509.49,147
7,1296.85,9
1,2927.87,19
0,892.39,6
5,3339.19,22
7,2875.16,18
4,1191.28,12
2,1186.83,19
3,561.26,8
0,9072.93,76
5,1732.66,10
2,2841.61,14
7,1020.67,10
3,2004.64,11
7,6137.38,69
2,4085.68,39
4,4313.24,26
5,1974.22,11
5,691.48,5
2,2884.2,12
7,1980.67,10
7,572.97,5
3,450.36,40
7,740.99,7
2,953.88,7
5,1403.31,6
5,706.39,6
7,2298.91,15
5,2854.83,24
0,14467.8,138
5,3070.14,20
6,3252.65,20
5,1773.6,27
6,957.37,7
5,1612.93,12
2,1350.39,17
3,285.71,58
5,1480.74,9
5,4418.93,32
4,1926.1,13
5,3938.89,29
0,1747.01,14
1,696.56,9
1,999.24,6
4,5147.96,38
4,687.8,6
5,2042.67,7
3,1084.34,9
1,464.1,3
7,7826.87,63
5,295.06,4
0,2275.54,11
5,706.67,5
0,731.04,4
5,3262.99,19
5,1616.7,14
0,1376.7,11
3,8784.49,39
6,1345.48,7
7,3156.17,17
2,653.03,26
0,735.77,26
2,1311.11,11
7,3530.23,23
5,1733.15,9
5,5702.67,31
7,2455.15,32
3,1088.78,7
5,857.29,10
7,3841.84,21
0,1660.97,11
5,508.61,11
4,1011.57,8
3,1592.37,8
3,1466.94,9
0,2865.96,19
0,2565.46,14
2,508.35,3
0,1371.03,12
7,2093.05,13
7,783.79,5
3,1147.04,22
1,1319.95,14
7,3660.5,36
0,517.46,10
5,532.17,7
4,1738.33,13
3,2287.37,14
5,3929.91,24
3,1073.96,14
3,6022.58,72
5,2888.86,25
0,9973.08,83
0,1058.54,8
2,3074.42,32
0,2589.3,13
0,27078.64,43
2,1809.83,17
0,517.46,5
5,1930.91,12
5,1312.23,8
2,726.13,9
1,1292.96,8
2,972.71,8
5,1596.44,9
3,9108.46,51
5,508.4,5
7,3072.55,20
5,3692.84,25
3,1475.34,20
7,3828.42,38
7,2768.48,15
1,507.54,30
5,3408.3,16
4,3176,29
5,3614.54,25
0,4138.68,28
5,513.62,6
0,1113.02,11
3,2445.94,23
5,5820.13,37
5,3770.59,29
1,3063.21,17
7,3031.9,29
0,1515.43,13
2,783.93,6
4,1691.15,16
6,1017.04,5
0,909.5,8
0,1251.04,6
0,1524.39,18
3,1345.29,6
