ID,EX,EY,geohash,class
423,121.373,31.313,wtw61um57yk2,7
424,121.509,31.292,wtw6j081hgt6,3
425,121.541,31.328,wtw6jxp6yd6p,7
426,121.358,31.255,wtw3c9f1w679,0
427,121.347,31.183,wtw33kdnnh92,0
428,121.425,31.204,wtw3e0dbrx4q,5
429,121.387,31.237,wtw3dnx2dng7,2
430,121.487,31.308,wtw6he2nk60y,5
431,121.521,31.286,wtw3vr2yht15,5
432,121.381,31.137,wtw34h6fnm3x,0
433,121.451,31.338,wtw678vvj6t7,6
434,121.506,31.329,wtw6hzmbxhbk,2
435,121.363,31.282,wtw3cwtyfg7y,0
436,121.402,31.173,wtw36df5zskk,0
437,121.53,31.251,wtw3v3p6q28h,5
438,121.488,31.232,wtw3st8gedf8,2
439,121.414,31.218,wtw3dg4fp2bp,4
440,121.522,31.289,wtw3vrcxeu6g,5
441,121.379,31.29,wtw6401mrwy2,1
442,121.507,31.308,wtw6hgqwq61y,2
443,121.412,31.196,wtw36z19beuu,0
444,121.392,31.232,wtw3dmdgwdgb,7
445,121.485,31.18,wtw3kknsttm8,3
446,121.366,31.237,wtw39y808ybg,0
447,121.428,31.247,wtw3g0m4vqzr,7
448,121.439,31.277,wtw3gmv1tz3s,2
449,121.461,31.274,wtw3gvm0q2ju,0
450,121.504,31.221,wtw3sgse82jp,4
451,121.476,31.283,wtw3uqbhevye,7
452,121.406,31.121,wtw349mhuyfu,0
453,121.538,31.277,wtw3vtv38xmk,1
454,121.535,31.269,wtw3vs754u06,5
455,121.485,31.269,wtw3ukqejsjd,5
456,121.492,31.299,wtw6h9gcbu3p,0
457,121.401,31.177,wtw36e9e0q49,3
458,121.483,31.235,wtw3sqjjp442,3
459,121.396,31.246,wtw3f2jv5ud6,3
460,121.356,31.234,wtw39tbxpz85,1
461,121.44,31.155,wtw35rtgj0gn,3
462,121.49,31.279,wtw3uw4m6hjy,5
463,121.42,31.234,wtw3dvzr5pd5,5
464,121.435,31.197,wtw37r4r8w6c,0
465,121.522,31.305,wtw6j6csgffy,4
467,121.46,31.215,wtw3efs2x1sp,0
468,121.45,31.199,wtw37xt5q55s,0
469,121.508,31.268,wtw3uupmm9et,4
470,121.442,31.331,wtw65rxk79wq,7
471,121.49,31.245,wtw3sxfr64ju,1
472,121.429,31.208,wtw3e1jzubbg,7
473,121.438,31.278,wtw3gmurw3zc,0
474,121.437,31.19,wtw37mgwzjqj,0
475,121.425,31.259,wtw3g4dbzefq,2
476,121.4,31.177,wtw36e8g1n0c,3
477,121.459,31.189,wtw37vg9pffx,7
478,121.469,31.205,wtw3s0en2ce5,5
479,121.425,31.318,wtw65j6bxd66,5
480,121.457,31.242,wtw3ez6mc4zm,1
481,121.475,31.214,wtw3s4r6sxm4,3
482,121.432,31.18,wtw37k0hdtmb,2
483,121.444,31.24,wtw3ex0f4q1f,5
484,121.457,31.254,wtw3gcd79pzk,5
485,121.465,31.192,wtw3kn24edhx,5
486,121.542,31.276,wtw3vv85vugz,2
487,121.454,31.271,wtw3gu8ng2fk,0
488,121.403,31.19,wtw36tfyyvmv,2
489,121.4,31.121,wtw3492ucnbu,5
490,121.447,31.205,wtw3e8en21we,5
491,121.368,31.208,wtw39c1rz2u5,3
492,121.478,31.299,wtw6h3c9fs6p,3
493,121.41,31.171,wtw36f804p99,2
494,121.481,31.25,wtw3u2gu2qnz,7
495,121.399,31.164,wtw3690p3wxm,7
496,121.432,31.18,wtw37k0hdtmb,2
497,121.474,31.22,wtw3s5qttmg6,0
498,121.5,31.222,wtw3sgc974wk,4
499,121.411,31.241,wtw3dz2b12e0,3
500,121.45,31.193,wtw37wt0qhes,4
501,121.402,31.206,wtw3d8fhpsh2,7
502,121.424,31.195,wtw37nfk032x,0
503,121.447,31.236,wtw3ew74bhqt,5
504,121.422,31.171,wtw3748b1xt3,5
505,121.425,31.198,wtw37p6vx8dr,3
506,121.378,31.207,wtw3d10cbqkw,7
507,121.341,31.162,wtw330vgf1z6,7
508,121.53,31.281,wtw3vqx3n301,5
509,121.365,31.14,wtw31sz79kxp,4
510,121.447,31.324,wtw65w7580yd,5
511,121.49,31.331,wtw6hxdk61ty,5
512,121.52,31.302,wtw6j625m5xr,5
513,121.367,31.237,wtw39y8b8nf7,0
514,121.537,31.269,wtw3vske1k5d,5
515,121.515,31.301,wtw6j4ht89r1,5
516,121.435,31.266,wtw3g7f38sff,5
517,121.508,31.28,wtw3uyr7jwes,4
518,121.445,31.191,wtw37w1s9xg6,5
519,121.439,31.253,wtw3g3mjvv3w,4
520,121.393,31.269,wtw3fk7ejuj6,7
521,121.485,31.315,wtw6hkwxjeje,5
522,121.405,31.165,wtw369kmm916,3
523,121.409,31.239,wtw3dwzk6exv,4
524,121.479,31.227,wtw3skdq3yew,7
525,121.439,31.26,wtw3g6tnty3e,1
526,121.378,31.232,wtw3dj8g86u8,7
527,121.402,31.235,wtw3dw4jpdh2,3
528,121.451,31.279,wtw3gwjvmkjq,4
529,121.523,31.29,wtw6j24m7nu2,5
530,121.49,31.331,wtw6hxdk61ty,5
531,121.45,31.26,wtw3gdtnwn7e,3
532,121.361,31.257,wtw3cdhmhr07,0
533,121.572,31.118,wtw3n2y52ztk,1
534,121.498,31.217,wtw3sfbhhwe4,2
535,121.487,31.227,wtw3ss8nkq8y,0
536,121.491,31.256,wtw3u9gp3kxw,3
537,121.455,31.153,wtw35z0z6s5g,3
538,121.45,31.26,wtw3gdtnwn7e,3
539,121.373,31.18,wtw33ujhevk2,0
540,121.43,31.268,wtw3ghntk1dt,3
541,121.377,31.35,wtw66504cpdf,1
542,121.533,31.305,wtw6jdcsu4uy,0
543,121.449,31.181,wtw37sk6qzdn,4
544,121.496,31.3,wtw6h9yxtyzu,3
545,121.398,31.17,wtw366r66mjs,0
546,121.435,31.125,wtw3564k28dc,5
547,121.509,31.273,wtw3vj04kvtr,4
548,121.445,31.323,wtw65w1t9w7m,7
549,121.477,31.301,wtw6h60ve323,4
550,121.531,31.264,wtw3ve2nj818,1
551,121.49,31.277,wtw3utf3dpmu,0
552,121.496,31.327,wtw6hwytjbpf,5
553,121.407,31.158,wtw368jus0ht,2
554,121.349,31.209,wtw3937tsek8,5
555,121.445,31.335,wtw6783e9e77,3
556,121.407,31.254,wtw3f9tgspus,5
557,121.431,31.293,wtw650xqgqh2,7
558,121.518,31.288,wtw3vpy9y9uj,3
559,121.406,31.25,wtw3f8vhky4z,5
560,121.43,31.262,wtw3g5ndk54t,3
561,121.427,31.212,wtw3e1urn4t8,3
562,121.473,31.297,wtw6h1mynp9t,4
563,121.484,31.304,wtw6h6tzn2ec,0
564,121.412,31.199,wtw36z9e2ehu,0
565,121.554,31.287,wtw3yp8gvrx8,5
566,121.49,31.317,wtw6ht46dpvv,3
567,121.524,31.329,wtw6jr70dkyh,1
568,121.426,31.143,wtw35j7tngup,4
569,121.502,31.31,wtw6hgg1cz19,7
570,121.496,31.162,wtw3k8yevczf,5
571,121.469,31.206,wtw3s0gh0u50,5
572,121.415,31.13,wtw34g59qs9g,4
573,121.393,31.12,wtw3435xjumq,0
574,121.459,31.216,wtw3efewru4t,0
575,121.543,31.261,wtw3vfbut0v8,5
576,121.495,31.314,wtw6hstcq8wj,5
577,121.534,31.303,wtw6jdd35qns,2
578,121.405,31.239,wtw3dwukme9m,5
579,121.447,31.177,wtw37ee50nn9,6
580,121.39,31.207,wtw3d319bn2q,0
581,121.498,31.211,wtw3scb1k855,0
582,121.491,31.343,wtw6k9g41qxt,4
583,121.444,31.156,wtw35xbbf73g,7
584,121.479,31.208,wtw3s34rcbge,2
585,121.421,31.196,wtw37p01f7gs,7
586,121.479,31.27,wtw3ukd2cy7x,1
587,121.435,31.268,wtw3gk4m29dv,5
588,121.474,31.33,wtw6hpqwmr73,2
589,121.525,31.323,wtw6jq5v9wrv,7
