路段编码,路名,区属,类型,段起点,段止点,等级,长度,路段面积,人行道面积
HPS000011325,光启南路,黄浦,路段,黄家路,中华路,支路,118,954.1,396.5
HPS000011337,光启南路,黄浦,路段,乔家路,俞家弄,支路,78,577.1,170.4
HPS000011313,光启南路小市政,黄浦,路段,250弄A,250弄B,支路,43,167,0
HPS000010013,广东路,黄浦,路段,福建中路,湖北路,支路,114,1696,728
HPS000009939,广东路,黄浦,路段,江西中路,河南中路,支路,155,1459,521
HPS000009937,广东路,黄浦,路段,河南中路,山东路,支路,138,1149.5,302.5
HPS000009933,广东路,黄浦,路段,中山东一路,四川中路,支路,200,1570,483
HPS000009934,广东路,黄浦,路段,四川中路,江西中路,支路,160,1562,568
HPS000009935,广东路,黄浦,路段,山东路,福建中路,支路,233,2246.4,762.4
HPS000009992,广东路,黄浦,路段,湖北路,浙江中路,支路,108,1374.5,527.5
HPS000009994,广东路,黄浦,路段,浙江中路,广西北路,支路,136,1408.3,512.3
HPS000009996,广东路,黄浦,路段,广西北路,云南中路,支路,76,698.8,201.8
HPS000009998,广东路,黄浦,路段,云南中路,西藏中路,支路,127,1096,288
HPS000020329,广福弄,黄浦,路段,方浜中路,薛弄底街,支路,110,106,106
HPS000010006,广西北路,黄浦,路段,九江路,汉口路,支路,81,682.5,260
HPS000010007,广西北路,黄浦,路段,汉口路,福州路,支路,157,1440,504
HPS000010008,广西北路,黄浦,路段,福州路,汕头路,支路,72,769.5,427.5
HPS000010009,广西北路,黄浦,路段,汕头路,广东路,支路,73,492,123
HPS000010010,广西北路,黄浦,路段,广东路,北海路,支路,111,814.8,232.8
HPS000010011,广西北路,黄浦,路段,北海路,延安东路,支路,94,520,130
HPS000010000,广西北路,黄浦,路段,北京东路,芝罘路,支路,61,328,160
HPS000009990,广西北路,黄浦,路段,宁波路,天津路,支路,79,598.4,163.2
HPS000010002,广西北路,黄浦,路段,牛庄路,宁波路,支路,84,646.1,191.7
HPS000010014,广西北路,黄浦,路段,芝罘路,牛庄路,支路,49,347.6,94.8
HPS000010004,广西北路,黄浦,路段,天津路,南京东路,支路,89,302.4,86.4
HPS000010005,广西北路,黄浦,路段,南京东路,九江路,支路,108,876,474.6
HPS000010003,广西南路,黄浦,路段,金陵东路,淮海东路,支路,149,1208.8,425.8
HPS000009978,广西南路,黄浦,路段,宁海东路,金陵东路,支路,117,1100,407
HPS000010012,广西南路,黄浦,路段,延安东路,宁海东路,支路,149,1027.2,307.2
HPS000010001,贵州路,黄浦,路段,厦门路,北京,支路,146,743,311
HPS000009967,贵州路,黄浦,路段,北京,芝罘路,支路,62,363.4,110.4
HPS000009968,贵州路,黄浦,路段,芝罘路,牛庄路,支路,50,300.2,91.2
HPS000009969,贵州路,黄浦,路段,牛庄路,宁波路,支路,77,620.4,158.4
