ID,BID,UID,ST,SX,SY,ET,EX,EY,EC,DU,DS
2762,92038,8087,2020/8/11 15:05,121.423,31.177,2020/8/11 15:58,121.416,31.173,2,53,801.236801
2763,105062,1119,2020/8/11 15:10,121.487,31.239,2020/8/11 15:20,121.477,31.232,7,10,1228.807332
2764,21920,6974,2020/8/11 15:15,121.428,31.168,2020/8/11 15:28,121.43,31.172,4,13,482.739678
2765,192656,1821,2020/8/11 15:20,121.482,31.207,2020/8/11 15:23,121.481,31.205,3,3,241.356733
2766,111196,10239,2020/8/11 15:23,121.507,31.308,2020/8/11 15:44,121.513,31.302,5,21,876.8224
2767,174246,11324,2020/8/11 15:34,121.516,31.274,2020/8/11 15:46,121.529,31.283,4,12,1590.037151
2768,192778,6507,2020/8/11 15:40,121.427,31.291,2020/8/11 15:58,121.405,31.294,0,18,2120.898466
2769,108200,10574,2020/8/11 15:46,121.413,31.303,2020/8/11 16:08,121.441,31.311,7,22,2809.22243
2770,2714,2691,2020/8/11 15:53,121.445,31.204,2020/8/11 16:04,121.446,31.192,5,11,1333.883673
2771,73458,10751,2020/8/11 15:58,121.425,31.286,2020/8/11 16:06,121.433,31.281,7,8,942.132193
2772,61942,5096,2020/8/11 16:02,121.531,31.306,2020/8/11 16:09,121.519,31.301,5,7,1269.811026
2773,40200,6341,2020/8/11 16:07,121.526,31.252,2020/8/11 16:11,121.525,31.256,5,4,453.608567
2774,81337,3067,2020/8/11 16:09,121.459,31.247,2020/8/11 16:23,121.473,31.236,0,14,1807.248143
2775,18816,5689,2020/8/11 16:15,121.506,31.329,2020/8/11 16:35,121.489,31.325,3,20,1677.687545
2776,26955,11107,2020/8/11 16:17,121.454,31.2,2020/8/11 16:45,121.481,31.211,4,28,2847.475087
2777,131495,2387,2020/8/11 16:25,121.408,31.177,2020/8/11 16:32,121.416,31.175,3,7,794.211038
2778,76553,9775,2020/8/11 16:28,121.416,31.293,2020/8/11 16:34,121.406,31.294,5,6,958.539067
2779,61628,4732,2020/8/11 16:33,121.481,31.213,2020/8/11 16:57,121.485,31.222,5,24,1068.173948
2780,191420,3618,2020/8/11 16:37,121.39,31.269,2020/8/11 16:52,121.382,31.283,2,15,1729.110478
2781,193159,7463,2020/8/11 16:40,121.495,31.323,2020/8/11 16:46,121.506,31.321,3,6,1070.225526
2782,138681,8838,2020/8/11 16:42,121.49,31.286,2020/8/11 16:45,121.488,31.288,5,3,292.297237
2783,37797,10916,2020/8/11 16:44,121.511,31.259,2020/8/11 16:51,121.51,31.253,7,7,672.027376
2784,191676,3024,2020/8/11 16:48,121.516,31.263,2020/8/11 16:52,121.512,31.259,7,4,584.661184
2785,121489,5783,2020/8/11 16:50,121.356,31.363,2020/8/11 17:01,121.367,31.365,5,11,1069.770882
2786,39311,3027,2020/8/11 16:56,121.447,31.332,2020/8/11 17:02,121.444,31.326,0,6,723.935657
2787,46614,5850,2020/8/11 16:59,121.437,31.239,2020/8/11 17:28,121.428,31.229,5,29,1401.600286
2788,147405,1197,2020/8/11 17:03,121.388,31.32,2020/8/11 17:56,121.382,31.27,7,53,5573.082161
2789,156615,2156,2020/8/11 17:05,121.531,31.223,2020/8/11 17:10,121.529,31.22,5,5,383.342148
2790,707,3530,2020/8/11 17:08,121.474,31.203,2020/8/11 17:35,121.466,31.207,5,27,882.003911
2791,164979,10806,2020/8/11 17:08,121.394,31.178,2020/8/11 17:19,121.386,31.173,4,11,942.827739
2792,56364,12212,2020/8/11 17:12,121.496,31.284,2020/8/11 17:37,121.539,31.29,5,25,4148.02501
2793,78825,675,2020/8/11 17:14,121.508,31.254,2020/8/11 17:31,121.491,31.259,4,17,1711.481204
2794,144334,8338,2020/8/11 17:16,121.483,31.29,2020/8/11 17:25,121.48,31.297,5,9,827.012808
2795,193463,7435,2020/8/11 17:18,121.446,31.318,2020/8/11 17:25,121.44,31.313,3,7,795.940271
2796,78506,9888,2020/8/11 17:20,121.432,31.189,2020/8/11 17:36,121.455,31.186,0,16,2217.377511
2797,90819,3958,2020/8/11 17:23,121.537,31.331,2020/8/11 17:26,121.536,31.333,3,3,241.31079
2798,43139,5909,2020/8/11 17:25,121.529,31.195,2020/8/11 17:45,121.521,31.208,5,20,1630.574447
2799,169996,11394,2020/8/11 17:26,121.493,31.286,2020/8/11 17:45,121.508,31.272,2,19,2109.432796
2800,181898,6626,2020/8/11 17:28,121.44,31.254,2020/8/11 17:39,121.429,31.252,5,11,1070.971265
2801,180973,5870,2020/8/11 17:29,121.373,31.243,2020/8/11 17:34,121.375,31.246,3,5,383.320239
2802,80598,7126,2020/8/11 17:31,121.506,31.321,2020/8/11 17:59,121.476,31.317,0,28,2889.781001
2803,185301,8724,2020/8/11 17:33,121.485,31.306,2020/8/11 17:41,121.497,31.308,7,8,1163.686578
2804,61409,1260,2020/8/11 17:35,121.52,31.296,2020/8/11 17:41,121.518,31.301,5,6,586.161926
2805,27692,3047,2020/8/11 17:36,121.396,31.188,2020/8/11 17:56,121.399,31.209,4,20,2345.820092
2806,190715,4521,2020/8/11 17:38,121.549,31.288,2020/8/11 17:45,121.543,31.29,5,7,612.817273
2807,133774,5050,2020/8/11 17:39,121.387,31.194,2020/8/11 17:57,121.397,31.17,5,18,2826.526144
