ID,SX,SY,class,sort
835,121.442,31.185,6,0
836,121.417,31.215,7,0
837,121.49,31.219,3,0
838,121.526,31.334,0,0
839,121.468,31.252,5,0
840,121.409,31.283,5,0
841,121.526,31.305,4,0
842,121.406,31.172,5,0
843,121.418,31.236,2,0
844,121.562,31.212,7,0
845,121.5,31.28,5,0
846,121.483,31.236,3,0
847,121.447,31.191,1,0
848,121.421,31.284,1,0
849,121.507,31.288,7,0
850,121.427,31.255,5,0
851,121.379,31.185,2,0
852,121.421,31.214,4,0
853,121.448,31.247,5,0
854,121.473,31.236,7,0
855,121.424,31.151,7,0
856,121.433,31.354,7,0
857,121.479,31.27,0,0
858,121.437,31.199,1,0
859,121.399,31.291,5,0
860,121.449,31.187,0,0
861,121.507,31.264,0,0
862,121.38,31.214,3,0
863,121.446,31.229,5,0
864,121.455,31.19,7,0
865,121.419,31.214,5,0
866,121.491,31.185,5,0
867,121.506,31.321,0,0
868,121.423,31.188,4,0
869,121.461,31.189,0,0
870,121.432,31.25,2,0
871,121.423,31.249,5,0
872,121.38,31.277,5,0
873,121.413,31.185,7,0
874,121.48,31.295,4,0
875,121.525,31.26,1,0
876,121.477,31.199,5,0
877,121.423,31.264,5,0
878,121.474,31.199,5,0
879,121.418,31.173,2,0
880,121.487,31.289,7,0
881,121.463,31.181,7,0
882,121.407,31.25,0,0
883,121.426,31.223,5,0
884,121.524,31.213,7,0
885,121.52,31.294,4,0
886,121.545,31.279,4,0
887,121.506,31.329,1,0
888,121.484,31.315,5,0
889,121.356,31.227,1,0
890,121.481,31.287,5,0
891,121.463,31.198,7,0
892,121.511,31.192,0,0
893,121.41,31.227,4,0
894,121.438,31.191,1,0
895,121.492,31.221,3,0
896,121.489,31.294,2,0
897,121.53,31.257,0,0
898,121.381,31.232,7,0
899,121.441,31.214,0,0
900,121.381,31.232,5,0
901,121.415,31.244,5,0
902,121.413,31.185,0,0
903,121.413,31.304,1,0
904,121.457,31.297,0,0
905,121.452,31.245,4,0
906,121.438,31.304,5,0
907,121.387,31.169,0,0
908,121.38,31.222,0,0
909,121.458,31.201,7,0
910,121.449,31.304,3,0
911,121.532,31.305,0,0
912,121.485,31.302,3,0
913,121.488,31.235,0,0
914,121.384,31.102,5,0
915,121.454,31.232,3,0
916,121.45,31.31,3,0
917,121.39,31.245,5,0
918,121.466,31.266,5,0
919,121.55,31.267,4,0
920,121.387,31.31,0,0
921,121.427,31.291,5,0
922,121.446,31.319,5,0
