UID,ST
7706,2016/8/1 16:05
4593,2016/8/1 16:06
6140,2016/8/1 16:07
3855,2016/8/1 16:11
4570,2016/8/1 16:11
207,2016/8/1 16:11
7652,2016/8/1 16:13
6027,2016/8/1 16:14
5900,2016/8/1 16:15
2859,2016/8/1 16:15
6957,2016/8/1 16:15
6783,2016/8/1 16:18
2945,2016/8/1 16:18
3304,2016/8/1 16:19
5390,2016/8/1 16:19
2141,2016/8/1 16:19
8058,2016/8/1 16:20
4016,2016/8/1 16:20
5869,2016/8/1 16:20
820,2016/8/1 16:21
6599,2016/8/1 16:22
6762,2016/8/1 16:23
1747,2016/8/1 16:23
6815,2016/8/1 16:23
7198,2016/8/1 16:25
2287,2016/8/1 16:27
6986,2016/8/1 16:27
2073,2016/8/1 16:29
4770,2016/8/1 16:30
5911,2016/8/1 16:31
3588,2016/8/1 16:31
7322,2016/8/1 16:33
6517,2016/8/1 16:33
4514,2016/8/1 16:33
7416,2016/8/1 16:33
3880,2016/8/1 16:33
1866,2016/8/1 16:34
7622,2016/8/1 16:34
4112,2016/8/1 16:35
3673,2016/8/1 16:36
5368,2016/8/1 16:36
7530,2016/8/1 16:37
7999,2016/8/1 16:37
3838,2016/8/1 16:41
5770,2016/8/1 16:42
4343,2016/8/1 16:42
1942,2016/8/1 16:42
7009,2016/8/1 16:43
6584,2016/8/1 16:45
2176,2016/8/1 16:47
7870,2016/8/1 16:47
4985,2016/8/1 16:47
7190,2016/8/1 16:48
6588,2016/8/1 16:49
3056,2016/8/1 16:50
4146,2016/8/1 16:50
7570,2016/8/1 16:54
6272,2016/8/1 16:54
733,2016/8/1 16:55
4524,2016/8/1 16:56
4259,2016/8/1 16:56
3807,2016/8/1 16:56
3243,2016/8/1 16:57
7848,2016/8/1 16:58
7294,2016/8/1 16:58
8443,2016/8/1 17:00
4522,2016/8/1 17:02
6337,2016/8/1 17:02
3535,2016/8/1 17:03
3218,2016/8/1 17:05
1529,2016/8/1 17:05
