ID,EX,EY
1223,121.46,31.197
1224,121.513,31.311
1225,121.543,31.274
1226,121.441,31.256
1227,121.478,31.278
1228,121.439,31.254
1229,121.508,31.295
1230,121.476,31.403
1231,121.429,31.213
1232,121.481,31.233
1233,121.429,31.199
1234,121.364,31.18
1235,121.389,31.354
1236,121.522,31.317
1237,121.491,31.265
1238,121.431,31.114
1239,121.539,31.265
1240,121.409,31.185
1241,121.525,31.283
1242,121.336,31.125
1243,121.511,31.28
1244,121.421,31.143
1245,121.442,31.156
1246,121.425,31.218
1247,121.423,31.281
1248,121.413,31.212
1249,121.463,31.274
1250,121.534,31.277
1251,121.436,31.18
1252,121.403,31.233
1253,121.441,31.192
1254,121.439,31.164
1255,121.482,31.237
1256,121.401,31.231
1257,121.495,31.311
1258,121.393,31.126
1259,121.518,31.27
1260,121.376,31.109
1261,121.455,31.327
1262,121.435,31.254
1263,121.531,31.318
1264,121.468,31.263
1265,121.415,31.22
1266,121.494,31.224
1267,121.417,31.17
1268,121.536,31.285
1269,121.477,31.232
1270,121.452,31.312
1271,121.467,31.247
1272,121.409,31.123
1273,121.328,31.144
1274,121.476,31.234
1275,121.447,31.162
1276,121.453,31.119
1277,121.487,31.239
1278,121.41,31.188
1279,121.47,31.288
1280,121.449,31.179
1281,121.485,31.308
1282,121.358,31.22
1283,121.415,31.289
1284,121.524,31.322
1285,121.445,31.187
1286,121.482,31.301
1287,121.541,31.328
1288,121.488,31.279
1289,121.464,31.243
1290,121.477,31.27
1291,121.432,31.131
1292,121.49,31.317
1293,121.428,31.244
1294,121.408,31.263
1295,121.48,31.258
1296,121.42,31.195
1297,121.427,31.335
1298,121.369,31.24
1299,121.475,31.264
1300,121.541,31.304
1301,121.454,31.207
1302,121.379,31.255
1303,121.456,31.19
1304,121.426,31.16
1305,121.455,31.291
1306,121.348,31.267
1307,121.529,31.328
1308,121.481,31.292
1309,121.416,31.218
1310,121.455,31.197
1311,121.52,31.32
1312,121.532,31.326
1313,121.467,31.215
1314,121.479,31.208
1315,121.519,31.253
1316,121.437,31.198
1317,121.505,31.286
1318,121.377,31.272
1319,121.518,31.318
1320,121.546,31.179
1321,121.556,31.271
1322,121.532,31.313
1323,121.474,31.315
1324,121.493,31.229
1325,121.396,31.269
1326,121.499,31.344
1327,121.387,31.21
1328,121.32,31.295
1329,121.469,31.207
1330,121.536,31.256
1331,121.442,31.237
1332,121.524,31.28
1333,121.462,31.174
1334,121.434,31.178
1335,121.542,31.289
1336,121.433,31.124
1337,121.388,31.291
1338,121.41,31.307
1339,121.365,31.141
1340,121.513,31.311
1341,121.522,31.309
1342,121.514,31.299
1343,121.495,31.318
1344,121.542,31.292
1345,121.432,31.282
1346,121.428,31.246
1347,121.514,31.262
1348,121.357,31.17
1349,121.417,31.216
1350,121.444,31.235
1351,121.538,31.265
1352,121.457,31.119
1353,121.489,31.334
1354,121.424,31.237
1355,121.433,31.163
1356,121.507,31.329
1357,121.386,31.131
1358,121.54,31.328
1359,121.535,31.284
1360,121.451,31.157
1361,121.443,31.251
1362,121.41,31.236
1363,121.496,31.208
1364,121.49,31.215
1365,121.435,31.221
1366,121.53,31.284
1367,121.388,31.277
1368,121.431,31.335
1369,121.551,31.167
1371,121.503,31.267
1372,121.523,31.325
1373,121.459,31.323
1374,121.478,31.279
